('16', '10G-EPON')
('14782', 'Garbage (computer science)')
('14812', 'Gaston Gonnet')
('14813', 'Gastrobot')
('14819', 'Gateway (computer program)')
('14827', 'Gaussian adaptation')
('14830', 'Gaussian orbital')
('14838', 'Gays.com')
('14866', 'Gecos field')
('14877', 'GemStone IV')
('14878', 'Gemalto')
('14880', 'Gembutsu')
('14882', 'Gempack')
('14883', 'Gemstone (database)')
('14888', 'GenStat')
('14901', 'Gene H. Golub')
('14914', 'General Algebraic Modeling System')
('14924', 'General EXecutive')
('14932', 'General Optical Council')
('14940', 'General linear model')
('14942', 'General number field sieve')
('14943', 'General position')
('14947', 'General set theory')
('14948', 'General topology')
('14949', 'Generalised Enterprise Reference Architecture and Methodology')
('14951', 'Generalised metric')
('14962', 'Generalized additive model')
('14967', 'Generalized context-free grammar')
('14969', 'Generalized entropy index')
('14978', 'Generalized map')
('14988', 'Generalized taxicab number')
('14991', 'Generating set')
('14996', 'Generational list of programming languages')
('15006', 'Generative topographic map')
('15031', 'Genetic algorithm scheduling')
('15039', 'Genetic memory in fiction')
('15044', 'Genetics Society of America')
('15050', 'Genie Engine')
('15052', 'Genism')
('15054', 'Genitive connector')
('15062', 'Genome@home')
('15071', 'Genrich Altshuller')
('15073', 'Gentleman scientist')
('15078', 'Genus (mathematics)')
('15091', 'Geo (marketing)')
('15103', 'Geoff Peterson')
('15112', 'Geographic information systems in China')
('15124', 'Geom raid5')
('15128', 'Geometric analysis')
('15147', 'Geometry of interaction')
('15148', 'Geometry of roots of real polynomials')
('15159', 'Geoprocessing')
('15163', 'Georg Gottlob')
('15178', 'George Reese (computer programmer)')
('15180', 'George Vernon Hudson')
('15204', 'Gerard Salton Award')
('15214', 'German declension')
('15222', 'Germany')
('15252', 'GhostNet')
('15259', 'Gia Milinovich')
('15263', 'Gibbs algorithm')
('15266', 'Gibiane')
('15270', 'Gideon Gartner')
('15279', 'Gihan Wikramanayake')
('15280', 'Gil Weinberg')
('15294', 'Ginga-J')
('15313', 'Gizzard (Scala framework)')
('15315', 'Gladys Kalema-Zikusoka')
('15318', 'GlassFish Metro')
('15327', 'Glee.com')
('15351', 'Global Change Master Directory')
('15353', 'Global Consciousness Project')
('15359', 'Global Explorer ROV')
('15367', 'Global Interpreter Lock')
('15374', 'Global Observer')
('15376', 'Global Positioning System')
('15387', 'Global filesystem')
('15412', 'Glossary of Unified Modeling Language terms')
('15420', 'Glossary of topology')
('15430', 'Glue language')
('15439', 'Gmelin database')
('15448', 'Gnome sort')
('15453', 'GnowSys')
('15457', 'Gnutella')
('15459', 'Go!Explore')
('15466', 'Go (game)')
('15469', 'Go Bible')
('15478', 'Goal programming')
('15502', 'Golden Nugget 64')
('15503', 'Golden Realm RPG Engine')
('15510', 'Golem (ILP)')
('15513', 'Golomb coding')
('15522', 'Good safety practice')
('15534', 'Google Books')
('15535', 'Google Books Library Project')
('15537', 'Google China')
('15562', 'Google Street View privacy concerns')
('15564', 'Google Translate')
('15581', 'Gordon Plotkin')
('15594', 'Gottfried Leibniz')
('15599', 'Government Accountability Office')
('15605', 'Government and binding theory')
('15609', 'Gowalla')
('15611', 'GpSP')
('15616', 'GrGen')
('15630', 'Gradually varied surface')
('15632', 'Grady Booch')
('15637', 'Graffiti (Palm OS)')
('15654', 'Grammar-based code')
('15661', 'Grammatical Framework')
('15683', 'Grapevine (disk magazine)')
('15685', 'Graph-tool')
('15687', 'GraphPad Prism')
('15696', 'Graph coloring')
('15699', 'Graph database')
('15702', 'Graph equation')
('15712', 'Graph state')
('15715', 'Grapheme')
('15729', 'Graphical models for protein structure')
('15742', 'Graphics library')
('15776', 'Great Seal of Canada')
('15783', 'Great Seal of the United States')
('15796', 'Green Pages')
('15802', 'Greenstone (software)')
('15808', 'Gregory Abowd')
('15811', 'Gregory Dudek')
('15826', 'Grid.org')
('15827', 'GridCC')
('15829', 'GridLite')
('15833', 'Grid Analysis and Display System')
('15843', 'Grid file')
('15844', 'Grid network')
('15848', 'Griffon (framework)')
('15855', 'Grlevelx')
('15857', 'Grok')
('15859', 'Grokline')
('15865', 'Grotrian diagram')
('15867', 'Ground-structure interaction')
('15870', 'Groundwater model')
('15899', 'Growth curve')
('15917', 'Guard tour patrol system')
('15929', 'Guidance system')
('15930', 'Guide to Available Mathematical Software')
('15946', 'Gunk (mereology)')
('15951', 'Gurupa')
('15957', 'Guy L. Steele, Jr.')
('15968', 'Gyrokinetic ElectroMagnetic')
('15975', 'H1ghlander')
('15988', 'HATEOAS')
('16015', 'HFS Plus')
('16023', 'HITAC S-810')
('16034', 'HMAC')
('16037', 'HMPP Open Standard')
('16038', 'HM Land Registry')
('16043', 'HOLAP')
('16044', 'HOLMES 2')
('16056', 'HP-IL')
('16060', 'HPGL')
('16065', 'HP 3000')
('16067', 'HP BASIC for OpenVMS')
('16069', 'HP Compaq TC1100')
('16070', 'HP Insight Manager')
('16080', 'HP TeMIP Software')
('16081', 'HP Time-Shared BASIC')
('16091', 'HSQLDB')
('16108', 'HUBO')
('16119', 'Habit (psychology)')
('16126', 'HackThisSite')
('16130', 'Hackathon')
('16142', 'Hacker koan')
('16171', 'Hakon Haugnes')
('16183', 'Ham sandwich theorem')
('16186', 'Hamid Arabnia')
('16203', 'Hamsterz Life')
('16206', 'Hand (handwriting)')
('16216', 'Handel (bioinformatics software package)')
('16230', 'Hang (computing)')
('16253', 'Happy (software)')
('16257', 'Haptik Library')
('16259', 'Harald Tveit Alvestrand')
('16260', 'Harassment by computer')
('16266', 'Hard disk drive')
('16273', 'Hardened Gentoo')
('16277', 'Hardness of approximation')
('16296', 'Hardware register')
('16304', 'Harkhebi')
('16306', 'Harmonic analysis')
('16307', 'Harmonic balance')
('16311', 'Harmonic pitch class profiles')
('16316', 'Harmony search')
('16320', 'Harold Thimbleby')
('16326', 'Harrison Wadsworth, Jr.')
('16328', 'Harry Carlton Comprehensive School')
('16331', 'Harry H. Goode')
('16332', 'Harry Huskey')
('16336', 'Harry Nyquist')
('16342', 'Hartmut Surmann')
('16349', 'Harvard Mark IV')
('16352', 'Harvest Automation')
('16369', 'Hashcash')
('16372', 'Haskell 98 features')
('16382', 'Hatena Satena')
('16419', 'Header-only')
('16422', 'Header Error Control')
('16429', 'HealthBoards')
('16434', 'Health Level 7')
('16440', 'Heap (data structure)')
('16442', 'Heap feng shui')
('16444', 'Heap spraying')
('16449', 'Heartbeat private network')
('16464', 'Heckman correction')
('16473', 'Height-velocity diagram')
('16478', 'HeinOnline')
('16479', 'Heinrich Erfle')
('16488', 'Helicam')
('16494', 'Helith')
('16498', 'HelixDNA')
('16499', 'Helix Universal Server')
('16509', 'Helmi Technologies')
('16539', 'Henry II of France')
('16541', 'Henry O. Pollak')
('16545', 'Herbert Edelsbrunner')
('16561', 'Hereditarily finite set')
('16564', 'Herfindahl index')
('16575', 'Hermite spline')
('16577', 'Heroic failure')
('16591', 'Heterodyne')
('16593', 'Heterogeneous Database System')
('16601', 'Heuristic')
('16605', 'Heuristic function')
('16615', 'Hexspeak')
('16623', 'Hibernate (Java)')
('16625', 'Hicks optimality')
('16634', 'Hidden transformation')
('16641', 'Hierarchical RBF')
('16659', 'High-availability Seamless Redundancy')
('16670', 'High-water mark (computer security)')
('16674', 'High Assurance Guard')
('16682', 'High Performance Fortran')
('16690', 'High Threshold Logic')
('16691', 'High Throughput File System')
('16705', 'Higher-dimensional algebra')
('16707', 'Higher-order differential cryptanalysis')
('16709', 'Higher-order programming')
('16713', 'Higher residuosity problem')
('16715', 'Highest response ratio next')
('16722', 'Highway Hunter')
('16724', 'Higig')
('16740', 'Hindawi Programming System')
('16748', 'HippoDraw')
('16757', 'Hisao Yamada')
('16767', 'History')
('16770', 'History of Apple Inc.')
('16791', 'History of calendars')
('16793', 'History of computer hardware in Soviet Bloc countries')
('16796', 'History of computing hardware')
('16797', 'History of construction')
('16813', 'History of programming languages')
('16826', 'History of wireless mesh networking')
('16827', 'Hit-or-miss transform')
('16834', 'Hitachi SR8000')
('16839', 'HoHoCon')
('16849', 'Holdridge life zones')
('16861', 'Hollywood (graphics chip)')
('16865', 'Hollywood Stock Exchange')
('16876', 'Holos')
('16885', 'Home automation')
('16892', 'Homeland Security Digital Library')
('16894', 'Homelessness in Canada')
('16895', 'Homeomorphism (graph theory)')
('16898', 'Homeostasis')
('16902', 'Homo economicus')
('16906', 'Homoeoid')
('16907', 'Homogeneous space')
('16913', 'Homomorphic encryption')
('16915', 'Homomorphic secret sharing')
('16918', 'Homophone')
('16933', 'Honeywell 316')
('16935', 'Hong Kong Olympiad in Informatics')
('16939', 'Hoox')
('16954', 'HornFans')
('16955', 'Horn clause')
('16958', 'Horse Isle (video game)')
('16960', 'Horsez')
('16979', 'Host system')
('16984', 'Hot Interconnects')
('16992', 'Hottrix')
('16997', 'HouseCall')
('17005', 'Hovertank 3D')
('17035', 'Hudson Valley Federal Credit Union')
('17040', 'Hugh Dixson')
('17060', 'Human68k')
('17066', 'Human Universal Load Carrier')
('17085', 'Human visual system model')
('17086', 'Humanistic Robotics')
('17089', 'Humanoid Robotics Project')
('17091', 'Human\xe2\x80\x93computer interaction')
('17095', 'Hume (programming language)')
('17096', 'Hunch (website)')
('17100', 'Hungarian Unix Portal')
('17101', 'Hungarian algorithm')
('17112', 'Huygens Software')
('17116', 'Hybricon SFF-4 Small Form Factor')
('17139', 'Hybrid theory for photon transport in tissue')
('17158', 'HyperCard')
('17175', 'Hyperbolic geometry')
('17181', 'Hypercomputation')
('17183', 'Hypercycle (geometry)')
('17193', 'Hyperprior')
('17209', 'Hypothetical list of biota')
('17214', 'Hypre')
('17219', 'I-Cube Systems')
('17223', 'I-Opener')
('17233', 'I/O bound')
('17235', 'I/O scheduling')
('17237', 'I2P')
('17240', 'IA-32 Execution Layer')
('17295', 'IBM Future Systems project')
('17301', 'IBM InfoSphere')
('17313', 'IBM Lotus Domino')
('17316', 'IBM Lotus Notes Traveler')
('17349', 'IBM Rational Unified Process')
('17350', 'IBM Redbooks')
('17362', 'IBM System/360 architecture')
('17371', 'IBM Tivoli Directory Server')
('17385', 'IBM WebSphere Portlet Factory')
('17387', 'IBM WebSphere eXtreme Scale')
('17390', 'IBM and the Holocaust')
('17393', 'IBM international chess tournament')
('17396', 'IBM v. Papermaster')
('17407', 'ICL 2900 Series')
('17413', 'ICL VME')
('17416', 'ICMPv6')
('17425', 'ICommune')
('17426', 'ICub')
('17438', 'IDEDOS')
('17450', 'IDL specification language')
('17454', 'IDV')
('17465', 'IEC 61334')
('17466', 'IEC 62264')
('17468', 'IEC 62351')
('17469', 'IEC 62379')
('17470', 'IEEE-488')
('17471', 'IEEE/ACM Transactions on Networking')
('17474', 'IEEE 1284')
('17493', 'IEEE 829')
('17494', 'IEEE 854-1987')
('17499', 'IEEE Computer Society')
('17501', 'IEEE Control Systems Society')
('17527', 'IF-MAP')
('17529', 'IFSHLP.SYS')
('17530', 'IFSP')
('17534', 'IFixit')
('17539', 'IGOR Pro')
('17552', 'ILAsm')
('17555', 'ILLIAC')
('17565', 'ILeap')
('17568', 'IMPACT (computer graphics)')
('17572', 'IMS VDEX')
('17579', 'INCA Internet')
('17582', 'INDICARE')
('17592', 'INT 10H')
('17615', 'IPMP')
('17617', 'IPOPT')
('17618', 'IPO Model')
('17623', 'IP Justice')
('17625', 'IP Pascal')
('17627', 'IP access controller')
('17645', 'IPod Touch')
('17654', 'IPv6 packet')
('17655', 'IPv6 subnetting reference')
('17671', 'IRobot Negotiator')
('17679', 'IS/LM model')
('17696', 'ISO/IEC 18014')
('17706', 'ISO 10303')
('17712', 'ISO 13567')
('17719', 'ISO 19770')
('17727', 'ISP Formal Verification Tool')
('17731', 'ISWIM')
('17735', 'IStumbler')
('17737', 'IT8')
('17743', 'ITIL security management')
('17748', 'IT Baseline Protection Catalogs')
('17758', 'IT risk management')
('17777', 'IX (operating system)')
('17785', 'Ian Bell (programmer)')
('17806', 'Ical (Unix)')
('17815', 'Icosian Calculus')
('17819', 'Id Tech')
('17820', 'Id Tech 4')
('17829', 'Idea NXT')
('17832', 'Ideal number')
('17839', 'Idempotent matrix')
('17843', 'Identification (information)')
('17857', 'Identity Management Theory')
('17859', 'Identity Theft Resource Center')
('17867', 'Identity document forgery')
('17880', 'Identity transform')
('17881', 'Identity verification service')
('17883', 'Idiomag')
('17892', 'Ignacio M. Llorente')
('17897', 'Ikivo Animator')
('17915', 'Image')
('17919', 'Image-guided radiation therapy')
('17926', 'Image Packaging System')
('17928', 'Image analogy')
('17934', 'Image differencing')
('17947', 'Image processing')
('17949', 'Image rectification')
('17950', 'Image registration')
('17954', 'Image schema')
('17966', 'Imagine (3D modeling software)')
('17970', 'Imaging for Windows')
('17973', 'Imaging spectrometer')
('17975', 'Imc FAMOS')
('17981', 'Immaterialism')
('17984', 'Immediate mode')
('17992', 'Immunocomputing')
('17997', 'Impact Nominal Index')
('18002', 'Imperial Seal of Japan')
('18013', 'Implicit certificate')
('18021', 'Implicit repetition')
('18025', 'Impossibility of a gambling system')
('18029', 'Impredicativity')
('18058', 'In the Name of Science')
('18061', 'In vivo magnetic resonance spectroscopy')
('18076', 'Include vulnerability')
('18105', 'Independence system')
('18106', 'Independent-spike coding')
('18117', 'Indeterminacy in concurrent computation')
('18126', 'Index Medicus')
('18133', 'Index of computing articles')
('18138', 'Index of information theory articles')
('18144', 'Indexed Database API')
('18149', 'Indexicality')
('18167', 'Indirect branch')
('18176', 'Inductive bias')
('18180', 'Industrial-grade prime')
('18202', 'Inferential mood')
('18213', 'InfiniteReality')
('18222', 'Infinitesimal')
('18225', 'Infinity Engine')
('18230', 'Info-Mac')
('18234', 'Infoanarchism')
('18247', 'Informal fallacy')
('18252', 'Information-action ratio')
('18258', 'Information Card Foundation')
('18283', 'Information Systems Audit and Control Association')
('18298', 'Information and Computation')
('18325', 'Information geometry')
('18327', 'Information industry')
('18329', 'Information ladder')
('18330', 'Information leakage')
('18346', 'Information revolution')
('18360', 'Information silo')
('18361', 'Information society')
('18372', 'Information technology operations')
('18387', 'Infoshop.org')
('18392', 'Infra Corporation')
('18399', 'Infrastructure for Spatial Information in the European Community')
('18419', 'Initialization on demand holder idiom')
('18420', 'Initialization vector')
('18426', 'Inkwell (Macintosh)')
('18428', 'Inline caching')
('18431', 'Inmos')
('18441', 'Inorganic Crystal Structure Database (ICSD)')
('18442', 'Inpainting')
('18455', 'Insbot')
('18459', 'Insects (Breed 77 album)')
('18489', 'Institute and Faculty of Actuaries')
('18524', 'Institute of Customer Service')
('18537', 'Institute of Marine Engineering, Science and Technology')
('18539', 'Institute of Mathematical Machines and Systems of National Academy of Sciences of Ukraine')
('18540', 'Institute of Mathematics and its Applications')
('18546', 'Institute of Patentees and Inventors')
('18550', 'Institute of Practitioners in Advertising')
('18561', 'Institution of Agricultural Engineers')
('18570', 'Institution of Engineers and Shipbuilders in Scotland')
('18576', 'Institution of Incorporated Engineers, Sri Lanka')
('18584', 'Instituto Via Delphi')
('18586', 'Instruction creep')
('18595', 'Instruction unit')
('18596', 'Instruction window')
('18613', 'Integer (computer science)')
('18616', 'Integer circuit')
('18630', 'Integral transform')
('18640', 'Integrated Encryption Scheme')
('18641', 'Integrated Enterprise Modeling')
('18646', 'Integrated Information Theory (IIT)')
('18649', 'Integrated Nuclear Fuel Cycle Information System')
('18657', 'Integrated Software for Imagers and Spectrometers')
('18673', 'Integration Objects')
('18702', 'Intel Concurrent Collections')
('18713', 'Intel Modular Server System')
('18721', 'Intel Reader')
('18723', 'Intel SOA Products Division')
('18728', 'Intel TeraHertz')
('18743', 'IntelliJ IDEA')
('18755', 'Intelligent Ground Vehicle Competition')
('18760', 'Intelligent Small World Autonomous Robots for Micro-manipulation')
('18774', 'Intelligent transportation system')
('18776', 'Intelligent workload management')
('18782', 'Intension')
('18784', 'Intensive Journal Method')
('18793', 'Inter-domain')
('18794', 'Inter-process communication')
('18800', 'InterMine')
('18804', 'InterPro')
('18807', 'InterTrust Technologies')
('18809', 'Interaction Soil-Biosphere-Atmosphere')
('18811', 'Interaction information')
('18812', 'Interaction nets')
('18818', 'Interactive C')
('18825', 'Interactive Ruby Shell')
('18832', 'Interactive programming')
('18836', 'Interactive theorem proving')
('18846', 'Interceptor pattern')
('18855', 'Interconnection')
('18858', 'Interdisciplinarity')
('18860', 'Interest point detection')
('18867', 'Interface description language')
('18868', 'Interface metaphor')
('18870', 'Interfaces (operations research)')
('18888', 'Interlisp')
('18891', 'Interlock protocol')
('18892', 'Intermediate General Circulation Model')
('18895', 'Intermediate representation')
('18898', 'Intermittent fault')
('18899', 'Intermodal Journey Planner')
('18903', 'Internal and external angle')
('18904', 'Internal discourse')
('18916', 'International Association for Life Cycle Civil Engineering')
('18920', 'International Association of Black Actuaries')
('18926', 'International Automated Systems')
('18927', 'International Automotive Task Force')
('18933', 'International Biology Olympiad')
('18937', 'International Code of Botanical Nomenclature')
('18948', 'International Conference on Architectural Support for Programming Languages and Operating Systems')
('18950', 'International Conference on Automated Software Engineering')
('18976', 'International Conference on Software Reuse')
('18977', 'International Conference on VLSI Design')
('18983', 'International Cryptology Conference')
('19007', 'International Journal of Computational Cognition')
('19015', 'International Journal of Image and Graphics')
('19021', 'International Journal of Software Engineering and Knowledge Engineering')
('19023', 'International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems')
('19041', 'International Shark Attack File')
('19043', 'International Society for Biosemiotic Studies')
('19056', 'International Student/Young Pugwash')
('19059', 'International Symposium on Distributed Computing')
('19071', 'International Union of Biological Sciences')
('19078', 'Internet')
('19082', 'Internet Architecture Board')
('19090', 'Internet Direct')
('19100', 'Internet Junkbuster')
('19131', 'Internet and Technology Law Desk Reference')
('19132', 'Internet and terrorism')
('19141', 'Internet ethics')
('19142', 'Internet forum')
('19153', 'Internet relationship')
('19156', 'Internet spelling')
('19159', 'Internet traffic engineering')
('19161', 'Internetwork Packet Exchange')
('19173', 'Interpolation attack')
('19175', 'Interpretation (logic)')
('19179', 'Interpreter directive')
('19189', 'Interrupt request')
('19196', 'Interservice/Industry Training, Simulation and Education Conference')
('19198', 'Interstellar ark')
('19199', 'Interstellar communication')
('19207', 'Interval (mathematics)')
('19209', 'Interval boundary element method')
('19216', 'Interxion')
('19232', 'Intrinsic cognitive load')
('19237', 'Introduction to Automata Theory, Languages, and Computation')
('19244', 'IntruShield')
('19250', 'Intrusion tolerance')
('19261', 'Invariant-based programming')
('19265', 'Invariant subspace problem')
('19267', 'Invention Machine')
('19270', 'Inventory')
('19271', 'Inventory control')
('19285', 'Inverse limit')
('19287', 'Inverse problem for Lagrangian mechanics')
('19290', 'Inverse relationship')
('19291', 'Inverse semigroup')
('19295', 'Inversive congruential generator')
('19306', 'Invisible ink')
('19313', 'Iofendylate')
('19316', 'Ion Filotti')
('19318', 'Ionization energy')
('19323', 'Iowa Electronic Markets')
('19338', 'IranOpen')
('19357', 'Irma board')
('19361', 'IronRuby')
('19370', 'Irrational rotation')
('19372', 'Irreducible Mind')
('19375', 'Irregular matrix')
('19379', 'Irsc')
('19388', 'Isfinder')
('19403', 'Isolation lemma')
('19410', 'Isoperimetric dimension')
('19434', 'Iterative deepening depth-first search')
('19453', 'Ivar Jacobson')
('19462', 'J.W. Graham Medal')
('19478', 'JACK Audio Connection Kit')
('19482', 'JAD (file format)')
('19484', 'JAL (compiler)')
('19485', 'JAMA (numerical linear algebra library)')
('19497', 'JAligner')
('19500', 'JBIG')
('19502', 'JBPM')
('19504', 'JBoss Enterprise SOA Platform')
('19516', 'JEL classification codes')
('19520', 'JFFS2')
('19524', 'JGroups')
('19525', 'JHDL')
('19528', 'JISC Collections')
('19531', 'JLex')
('19542', 'JO-ZERO')
('19545', 'JOONE')
('19546', 'JOSEKI (cipher)')
('19555', 'JPEG 2000')
('19571', 'JSGF')
('19580', 'JScript')
('19584', 'JSyn')
('19607', 'Jack Bicer')
('19617', 'Jack Minker')
('19619', 'Jack Steinberger')
('19654', 'James Clark (programmer)')
('19661', 'James Davenport (professor)')
('19675', 'James Marcus Bach')
('19677', 'James Pustejovsky')
('19682', 'James Smith (ichthyologist)')
('19687', 'Jamie Zawinski')
('19695', 'Jan Vanthienen')
('19703', 'Janline')
('19713', 'Japanese robotics')
('19714', 'Japanese sound symbolism')
('19719', 'Jarkko Kari')
('19725', 'Jart Armin')
('19728', 'Jason (ROV)')
('19730', 'Jason Burks')
('19734', 'Jason Jones (programmer)')
('19738', 'Jason Walter Brown')
('19774', 'Java Interface Definition Language')
('19780', 'Java OpenGL')
('19785', 'Java Virtual Machine')
('19791', 'Java bytecode instruction listings')
('19796', 'Java package')
('19810', 'Jay Earley')
('19816', 'Jazz DSP')
('19820', 'Jean-Marie Hullot')
('19821', 'Jean-Raymond Abrial')
('19827', 'Jean Serra')
('19828', 'Jeanne Ferrante')
('19831', 'Jed the Humanoid')
('19851', 'Jeffrey Hunker')
('19855', 'Jeffrey P. Buzen')
('19862', 'Jena (framework)')
('19866', 'Jennifer Lippincott-Schwartz')
('19875', 'Jericho Forum')
('19893', 'JetPAG')
('19894', 'JetStream (software)')
('19908', 'Jianping Wu')
('19910', 'Jiffy (time)')
('19917', 'Jim Davies (computer scientist)')
('19918', 'Jim Ellis (computing)')
('19923', 'Jim Horning')
('19941', 'JoCaml')
('19942', 'Joachim Hagenauer')
('19961', 'Joe-E')
('19977', 'Johannes Trithemius')
('19986', 'John C. Butcher')
('19989', 'John Carter Brown Library')
('20000', 'John E. L. Peck')
('20003', 'John F. Hughes (computer scientist)')
('20008', 'John Fitzgerald (computer scientist)')
('20028', 'John J. Leonard')
('20032', 'John Krogstie')
('20048', 'John N. Warfield')
('20060', 'John S. Paraskevopoulos')
('20085', 'John von Neumann')
('20088', 'Johnny Long')
('20105', 'Joint Genome Institute')
('20107', 'Joint Interface Control Officer')
('20109', 'Joint Mathematical Council')
('20114', 'Joint Test Action Group')
('20125', 'Jon Callas')
('20127', 'Jon Hall (programmer)')
('20133', 'Jonathan Baginski')
('20147', 'Jones in the Fast Lane')
('20149', 'Joost')
('20152', 'Jordan curve theorem')
('20161', 'Joseph D. Novak')
('20175', 'Joseph Weizenbaum')
('20183', 'Joshua Schachter')
('20187', 'JournalServer')
('20194', 'Journal of Automata, Languages and Combinatorics')
('20199', 'Journal of Circuits, Systems, and Computers')
('20202', 'Journal of Computer-Mediated Communication')
('20218', 'Journal of Statistical Software')
('20222', 'Journal of the ACM')
('20230', 'Joy (programming language)')
('20239', 'JsMath')
('20243', 'Jubii.com')
('20244', 'Jubilee clock')
('20248', 'Judgepedia')
('20251', 'Judith Resnik')
('20256', 'Juggling notation')
('20265', 'July Systems')
('20276', 'Junaio')
('20277', 'Junction Grammar')
('20285', 'Junkbot')
('20297', 'Justesen code')
('20327', 'KAOS (software development)')
('20329', 'KCDSA')
('20336', 'KDL')
('20337', 'KDrive')
('20341', 'KERNAL')
('20359', 'KOAN')
('20362', 'KOMPILER')
('20366', 'KRYPTON (Programming Language)')
('20368', 'KSD-64')
('20375', 'KVM switch')
('20378', 'KWrite')
('20384', 'KYPS')
('20388', 'K Desktop Environment 3')
('20389', 'Kabru super computer')
('20397', 'Kahun Papyri')
('20402', 'Kaisha Atakhanova')
('20438', 'Karl Popper')
('20450', 'Kaspersky Anti-Virus')
('20458', 'Kate Craig-Wood')
('20472', 'Kd-tree')
('20484', 'Keith Bostic')
('20489', 'Keith Hampton')
('20490', 'Keith Packard')
('20494', 'Kelly criterion')
('20500', 'Ken Coar')
('20503', 'Ken Goldberg')
('20506', 'Ken Kennedy Award')
('20529', 'Kent Recursive Calculator')
('20538', 'Kermeta')
('20542', 'Kernel (linear operator)')
('20554', 'Kernel adaptive filter')
('20556', 'Kernel methods')
('20557', 'Kernel panic')
('20560', 'Kernel relocation')
('20575', 'Kevin Long (artist)')
('20584', 'Key-agreement protocol')
('20593', 'Key Wrap')
('20595', 'Key clustering')
('20597', 'Key disclosure law')
('20604', 'Key fob')
('20615', 'Key size')
('20617', 'Key strengthening')
('20618', 'Key whitening')
('20621', 'Keyboard shortcut')
('20653', 'Kibibyte')
('20661', 'Kikaider')
('20675', 'Kilocore')
('20683', 'Kinectimals')
('20694', 'KingsRow')
('20700', 'Kinsmod')
('20707', 'KisMAC')
('20711', 'Kismet (software)')
('20719', 'Kiwibox')
('20725', 'Klaus Samelson')
('20728', 'Kleene fixed-point theorem')
('20738', 'Kludge')
('20741', 'Knark')
('20743', 'Knights of the Lambda Calculus')
('20761', 'Knowledge Plaza')
('20763', 'Knowledge Search')
('20767', 'Knowledge compilation')
('20776', 'Knowledge management software')
('20781', 'Knowledge representation and reasoning')
('20782', 'Knowledge space')
('20784', 'Knowledge tags')
('20811', 'Kommandcore')
('20813', 'Konami Justifier')
('20814', 'Konix Multisystem')
('20833', 'Kororaa')
('20837', 'Kraakdoos')
('20842', 'Kreislauf')
('20845', 'Kripke semantics')
('20846', 'Kripke structure')
('20853', 'Kronecker sum of discrete Laplacians')
('20856', 'Krylov subspace')
('20857', 'Kryptos')
('20869', 'Kurso de Esperanto')
('20874', 'Kuwaiti algorithm')
('20878', 'Kyma (sound design language)')
('20913', 'LART')
('20915', 'LC-3')
('20920', 'LCF notation')
('20922', 'LCS35')
('20928', 'LDraw')
('20939', 'LGA 1156')
('20941', 'LGA 1356')
('20948', 'LGP-30')
('20954', 'LIFER/LADDER')
('20962', 'LIRC')
('20975', 'LMule')
('20978', 'LOBOS')
('20983', 'LOCUS (operating system)')
('20999', 'LPBoost')
('21029', 'LaFarr Stuart')
('21036', 'LabVantage Solutions')
('21045', 'Label dispenser')
('21049', 'Labeled Security Protection Profile')
('21055', 'Laboratory information system')
('21066', 'Lady tasting tea')
('21068', 'Lagarith')
('21071', 'Lagotek')
('21072', 'Lagrange multiplier')
('21075', 'Lagrangian')
('21102', 'Land-surface parameterisation model scheme')
('21106', 'Land Surface Model (LSM version 1.0)')
('21110', 'Land grading')
('21114', 'Landline')
('21115', 'Landmark point')
('21124', 'Langley Grammar School')
('21131', 'Language Acquisition Device (computer)')
('21135', 'Language and thought')
('21137', 'Language construct')
('21138', 'Language engineering')
('21147', 'Language primitive')
('21153', 'LapLink cable')
('21155', 'Lapis (programming language)')
('21159', 'Laptop cooler')
('21167', 'Large Technical System')
('21168', 'Large eddy simulation')
('21173', 'Large segment offload')
('21183', 'Larry Kaufman')
('21192', 'Las Vegas algorithm')
('21193', 'LaserScope')
('21204', 'Late Move Reductions')
('21212', 'Latent typing')
('21224', 'Latin letters used in mathematics')
('21228', 'Latrinalia')
('21232', 'Lattice Boltzmann methods')
('21241', 'Latticework')
('21253', 'Lavasoft')
('21254', 'Lavazza')
('21268', 'Lawnswood School')
('21270', 'Lawrence Hunter')
('21271', 'Lawrence J. Fogel')
('21274', 'Lawrence Paulson')
('21284', 'Layer (object-oriented design)')
('21288', 'Layer four traceroute')
('21300', 'Lazy (Deep Purple song)')
('21303', 'Lazy (Suede song)')
('21305', 'Lazy (band)')
('21313', 'Lazy evaluation')
('21315', 'Lazy inheritance')
('21327', 'Le Lisp')
('21329', 'Le Ton beau de Marot')
('21337', 'Leadtek')
('21348', 'Lean Integration')
('21349', 'Lean manufacturing')
('21364', 'Learning Based Java')
('21391', 'Least frequently used')
('21395', 'Least slack time scheduling')
('21399', 'Least trimmed squares')
('21410', 'Lee Giles')
('21420', 'Left quotient')
('21423', 'Leftist tree')
('21441', 'Legendre wavelet')
('21445', 'Legion of Doom (hacking)')
('21446', 'Legit Reviews')
('21453', 'Lehmer random number generator')
('21456', 'Leibniz formula for pi')
('21459', 'Lemmatisation')
('21460', 'Lemon (automobile)')
('21473', 'Lenstra elliptic curve factorization')
('21495', 'Leonidas J. Guibas')
('21508', 'Leslie P. Kaelbling')
('21509', 'Leslie Valiant')
